course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.5,Beginner,35k,Dino 101 Dinosaur Paleobiology
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,40k,Discrete Optimization
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4k,Diseo Instruccional Aprendizaje activo y Pedagoga digital
Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,COURSE,4.9,Beginner,21k,Diseo y Creacin de un Emprendimiento Social
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,COURSE,4.8,Intermediate,130k,Divide and Conquer Sorting and Searching and Randomized Algorithms
Dog Emotion and Cognition,Duke University,COURSE,4.6,Intermediate,150k,Dog Emotion and Cognition
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k,Driving business towards the Sustainable Development Goals
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17k,Drug Commercialization
Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39k,Drug Discovery
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k,Dynamic Public Speaking
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.1k,EMT Foundations
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18k,Ecology Ecosystem Dynamics and Conservation
Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Intermediate,110k,Econometrics Methods and Applications
Economics of Money and Banking,Columbia University,COURSE,4.9,Intermediate,83k,Economics of Money and Banking
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16k,Ecosystem Services a Method for Sustainable Development
Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Intermediate,3.4k,Effective Compliance Programs
Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k,Egiptologa Egyptology
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1.5k,El Abogado del Futuro Legaltech y la Transformacin Digital del Derecho
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57k,Elastic Google Cloud Infrastructure Scaling and Automation
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12k,Electric Industry Operations and Markets
Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k,Electronic Music Production
Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17k,Emerging Technologies From Smartphones to IoT to Big Data
"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37k,Energy Production Distribution  Safety
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14k,Engineering Health Introduction to Yoga and Physiology
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23k,Engineering Project Management Initiating and Planning
English Composition I,Duke University,COURSE,4.6,Beginner,200k,English Composition I
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230k,English for Business and Entrepreneurship
English for Career Development,University of Pennsylvania,COURSE,4.8,Intermediate,760k,English for Career Development
English for Journalism,University of Pennsylvania,COURSE,4.8,Intermediate,130k,English for Journalism
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k,English for Research Publication Purposes
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110k,English for Science Technology Engineering and Mathematics
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k,Enterprise Architecture
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k,Entrepreneurial Finance Strategy and Innovation
Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k,Entrepreneurship
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Intermediate,86k,Entrepreneurship 1 Developing the Opportunity
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Intermediate,38k,Entrepreneurship 2 Launching your StartUp
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31k,Entrepreneurship 3 Growth Strategies
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k,Entrepreneurship Strategy From Ideation to Exit
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k,Entrepreneurship Launching an Innovative Business
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Intermediate,45k,Epidemics  the Dynamics of Infectious Diseases
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Intermediate,23k,Epidemics Pandemics and Outbreaks
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k,Epidemiology for Public Health
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,Epidemiology in Public Health Practice
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Intermediate,130k,Epidemiology The Basic Science of Public Health
Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Intermediate,35k,Epigenetic Control of Gene Expression
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.2k,Equine Welfare and Management
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k,Esports
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14k,Essential Epidemiologic Tools for Public Health Practice
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68k,Essential Google Cloud Infrastructure Core Services
Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83k,Essential Google Cloud Infrastructure Foundation
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.1k,Essentials in Clinical Simulations Across the Health Professions
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k,Essentials of Corporate Finance
Essentials of Global Health,Yale University,COURSE,4.8,Intermediate,31k,Essentials of Global Health
Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k,Estadstica y probabilidad
Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k,Evaluacin educativa
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11k,Everyday Excel Part 1
Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86k,Everyday Parenting The ABCs of Child Rearing
Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240k,Excel Skills for Business
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39k,Excel Skills for Business Advanced
Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200k,Excel Skills for Business Essentials
Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76k,Excel Skills for Business Intermediate I
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39k,Excel Skills for Business Intermediate II
Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k,Excel to MySQL Analytic Techniques for Business
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k,ExcelVBA for Creative Problem Solving
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54k,ExcelVBA for Creative Problem Solving Part 1
Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k,Executive Data Science
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k,Explorando la Energa Sustentable
Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180k,Fashion as Design
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k,Feminism and Social Justice
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9.7k,FinTech Law and Policy
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k,FinTech Finance Industry Transformation and Regulation
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k,FinTech Foundations Payments and Regulations
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k,Finance  Quantitative Modeling for Analysts
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k,Finance for NonFinance Professionals
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k,Finance for NonFinancial Managers
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k,Financial Accounting Fundamentals
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k,Financial Acumen for NonFinancial Managers
Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Intermediate,100k,Financial Engineering and Risk Management Part I
Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k,Financial Management
Financial Markets,Yale University,COURSE,4.8,Beginner,470k,Financial Markets
Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k,Financial Markets and Investment Strategy
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,Financial Reporting
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k,Financial Technology Fintech Innovations
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Intermediate,24k,Financing and Investing in Infrastructure
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k,Finanzas corporativas
Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,310k,Finanzas personales
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k,Finding Purpose and Meaning In Life Living for What Matters Most
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k,Fintech Foundations  Applications of Financial Technology
First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k,First Step Korean
Food & Beverage Management,Università Bocconi,COURSE,4.8,Intermediate,57k,Food  Beverage Management
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Intermediate,42k,Forensic Accounting and Fraud Examination
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k,Formulacin y evaluacin de proyectos complejos
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k,Foundational Finance for Strategic Decision Making
Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k,Foundations of Business Strategy
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,62k,Foundations of Everyday Leadership
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,Foundations of Global Health
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k,Foundations of Management
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k,Foundations of Marketing Analytics
Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k,Foundations of Positive Psychology
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k,Foundations of Public Health Practice
From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26k,From Data to Insights with Google Cloud Platform
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52k,From the Big Bang to Dark Energy
Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45k,FrontEnd Web Development with React
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89k,FrontEnd Web UI Frameworks and Tools Bootstrap 4
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k,Full Stack Web and Multiplatform Mobile App Development
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140k,FullStack Web Development with React
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k,Functional Programming Principles in Scala
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k,Functional Programming in Scala
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30k,Fundamental Neuroscience for Neuroimaging
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k,Fundamentals of Accounting
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k,Fundamentals of Computing
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Intermediate,49k,Fundamentals of Engineering Exam Review
Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86k,Fundamentals of GIS
Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290k,Fundamentals of Graphic Design
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20k,Fundamentals of Immunology
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18k,Fundamentals of Immunology Innate Immunity and BCell Function
Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k,Fundamentals of Music Theory
Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120k,Fundamentals of Project Planning and Management
Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Intermediate,110k,Fundamentals of Quantitative Modeling
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22k,Fundamentals of Reinforcement Learning
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81k,Fundamentals of Visualization with Tableau
Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25k,Fundamentos Empresariales
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56k,Fundamentos Estratgicos Empresariales
Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k,Fundamentos de Excel para Negocios
Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k,Fundamentos de Finanzas Empresariales
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47k,Fundamentos de la escritura
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4.9k,Fundraising and Development
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9.4k,Futures Thinking
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10k,G Suite Administration
"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140k,GIS Mapping and Spatial Analysis
Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100k,Game Design and Development
Game Theory,Stanford University,COURSE,4.6,Beginner,260k,Game Theory
Gamification,University of Pennsylvania,COURSE,4.8,Intermediate,110k,Gamification
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14k,Gender and Sexuality Diversity and Inclusion in the Workplace
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80k,Genomic Data Science
Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97k,Geographic Information Systems  GIS
Geopolitics of Europe,Sciences Po,COURSE,4.3,Intermediate,19k,Geopolitics of Europe
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Intermediate,34k,Geopoltica y gobernanza global riesgos y oportunidades
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Intermediate,47k,Gestin de organizaciones efectivas
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14k,Get Interactive Practical Teaching with Technology
Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59k,Getting Started With Music Theory
Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73k,Getting Started with AWS Machine Learning
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59k,Getting Started with Go
Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75k,Getting Started with Google Kubernetes Engine
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18k,Getting Started with Google Sheets
Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22k,Getting Started with SAS Programming
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Intermediate,79k,Global Diplomacy  Diplomacy in the Modern World
Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29k,Global Diplomacy the United Nations in the World
Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10k,Global Energy and Climate Policy
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22k,Global Environmental Management
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Intermediate,37k,Global Financial Markets and Instruments
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3.6k,Global Financing Solutions  by EDHEC and Socit Gnrale
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Intermediate,7.6k,Global Trends for Business and Society
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k,Globalization Economic Growth and Stability
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3.8k,Good with Words Writing and Editing
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k,Google Cloud Platform Big Data and Machine Learning Fundamentals
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36k,Google Cloud Platform Fundamentals for AWS Professionals
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93k,Google IT Automation with Python
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350k,Google IT Support
Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Intermediate,430k,Grammar and Punctuation
Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10k,Graphic Design Elements for NonDesigners
Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Intermediate,260k,Greek and Roman Mythology
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56k,Greening the Economy Sustainable Cities
Guitar for Beginners,Berklee College of Music,COURSE,4.8,Intermediate,210k,Guitar for Beginners
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Intermediate,62k,Gut Check Exploring Your Microbiome
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Intermediate,240k,HTML CSS and Javascript for Web Developers
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k,Habilidades Gerenciales
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,62k,Hacia una prctica constructivista en el aula
Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k,Hardware Description Languages for FPGA Design
Healing with the Arts,University of Florida,COURSE,4.6,Intermediate,39k,Healing with the Arts
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k,Health Informatics
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k,Health Information Literacy for Data Analytics
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k,Healthcare Law
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k,Healthcare Marketplace
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k,Healthcare Organization Operations
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Intermediate,46k,High Performance Collaboration Leadership Teamwork and Negotiation
Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k,Homeland Security and Cybersecurity
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k,Hotel Management Distribution Revenue and Demand Management
How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k,How Things Work An Introduction to Physics
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Intermediate,140k,How To Create a Website in a Weekend ProjectCentered Course
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k,How to Start Your Own Business
Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k,Human Resource Management HR for People Managers
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k,IBM AI Engineering
IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k,IBM AI Enterprise Workflow
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k,IBM Applied AI
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.3k,IBM Customer Engagement Specialist Professional Certificate
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k,IBM Data Science
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35k,IT Fundamentals for Cybersecurity
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62k,IT Security Defense against the digital dark arts
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1.7k,Identifying Monitoring and Analyzing Risk and Incident Response and Recovery
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k,Implementacin del Marketing Mix
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k,Implementing RPA with Cognitive Automation and Analytics
Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k,Improve Your English Communication Skills
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270k,Improving Deep Neural Networks Hyperparameter tuning Regularization and Optimization
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k,Improving Leadership  Governance in Nonprofit Organizations
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79k,In the Studio Postwar Abstract Painting
Indigenous Canada,University of Alberta,COURSE,4.8,Intermediate,51k,Indigenous Canada
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34k,Industrial IoT on Google Cloud Platform
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1.6k,Infectious Disease Modelling
Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k,Influencer Marketing Strategy
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22k,Influencing Storytelling Change Management and Governance
Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k,Information Security Context and Introduction
Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10k,Information Visualization
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k,Information Systems
Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Intermediate,180k,Initiating and Planning Projects
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k,Innovation Management
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10k,Innovation Through Design Think Make Break Repeat
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k,Innovation From Creativity to Entrepreneurship
Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72k,Inspirational Leadership Leading with Sense
Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k,Inspired Leadership
Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Intermediate,85k,Inspiring and Motivating Individuals
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Intermediate,12k,Instructional Design Foundations and Applications
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.7k,Instructional Methods in Health Professions Education
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k,Integrative Health and Medicine
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k,Intellectual Property Law
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k,Interaction Design
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6.5k,Intercultural Management
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22k,International Business Essentials
International Cyber Conflicts,The State University of New York,COURSE,4.4,Intermediate,25k,International Cyber Conflicts
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k,International Humanitarian Law in Theory and Practice
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Intermediate,36k,International Law in Action A Guide to the International Courts and Tribunals in The Hague
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Intermediate,19k,International Law in Action the Arbitration of International Disputes
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Intermediate,41k,International Leadership and Organizational Behavior
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26k,International Marketing  Cross Industry Growth
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20k,International Organizations Management
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2.2k,International Security Management
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35k,International Womens Health and Human Rights
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k,International migrations a global issue
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36k,Internet Connection How to Get Online
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Intermediate,38k,Internet Giants The Law and Economics of Media Platforms
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66k,Interviewing and Resume Writing in English
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k,Introduccin a Data Science Programacin Estadstica con R
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100k,Introduccin a la programacin en Python I Aprendiendo a programar con Python
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Intermediate,46k,Introduction aux Droits de lHomme
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Intermediate,60k,Introduction to Ableton Live
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44k,Introduction to Artificial Intelligence AI
